id,type,target,section,year,year_qid,content,simple_content,part_qids,wikidata_url,local_qid,simple_local_qid,content_fr,content_ml,content_pa,content_hi,content_pt,content_es,content_it
,CVEntry,both,journals,2026,,"ConVer-G: A Suite for Versioning, Querying and Visualization of Dynamic Knowledge Graphs, Jey Puget Gil, Emmanuel Coquery, John Samuel, Gilles Gesquière, Journal of Open Source Software, 2026, https://doi.org/10.21105/joss.10828",,,,Q8655,Q8655,,,,,,,
,CVEntry,both,conferences,2026,,"Cartographie stratifiée de la végétation urbaine à Lyon par fusion d'orthophotos et de LiDAR, Arthur Villarroya-Palau, John Samuel, Ludovic Darmet, Maxime Tribolet, Anthony Angelot, Gilles Gesquière, Colloque UrbaTree - L'arbre urbain : du gène au paysage, Jun 2026, Rennes, France. https://hal.science/hal-05658820v1",,,,Q8656,Q8656,"Cartographie stratifiée de la végétation urbaine à Lyon par fusion d'orthophotos et de LiDAR, Arthur Villarroya-Palau, John Samuel, Ludovic Darmet, Maxime Tribolet, Anthony Angelot, Gilles Gesquière, Colloque UrbaTree - L'arbre urbain : du gène au paysage, juin 2026, Rennes, France. https://hal.science/hal-05658820v1","Cartographie stratifiée de la végétation urbaine à Lyon par fusion d'orthophotos et de LiDAR, Arthur Villarroya-Palau, John Samuel, Ludovic Darmet, Maxime Tribolet, Anthony Angelot, Gilles Gesquière, Colloque UrbaTree - L'arbre urbain : du gène au paysage, ജൂൺ 2026, Rennes, ഫ്രാൻസ്. https://hal.science/hal-05658820v1","Cartographie stratifiée de la végétation urbaine à Lyon par fusion d'orthophotos et de LiDAR, Arthur Villarroya-Palau, John Samuel, Ludovic Darmet, Maxime Tribolet, Anthony Angelot, Gilles Gesquière, Colloque UrbaTree - L'arbre urbain : du gène au paysage, ਜੂਨ 2026, Rennes, ਫ਼ਰਾਂਸ. https://hal.science/hal-05658820v1","Cartographie stratifiée de la végétation urbaine à Lyon par fusion d'orthophotos et de LiDAR, Arthur Villarroya-Palau, John Samuel, Ludovic Darmet, Maxime Tribolet, Anthony Angelot, Gilles Gesquière, Colloque UrbaTree - L'arbre urbain : du gène au paysage, जून 2026, Rennes, फ़्रांस. https://hal.science/hal-05658820v1","Cartographie stratifiée de la végétation urbaine à Lyon par fusion d'orthophotos et de LiDAR, Arthur Villarroya-Palau, John Samuel, Ludovic Darmet, Maxime Tribolet, Anthony Angelot, Gilles Gesquière, Colloque UrbaTree - L'arbre urbain : du gène au paysage, junho 2026, Rennes, França. https://hal.science/hal-05658820v1","Cartographie stratifiée de la végétation urbaine à Lyon par fusion d'orthophotos et de LiDAR, Arthur Villarroya-Palau, John Samuel, Ludovic Darmet, Maxime Tribolet, Anthony Angelot, Gilles Gesquière, Colloque UrbaTree - L'arbre urbain : du gène au paysage, junio 2026, Rennes, Francia. https://hal.science/hal-05658820v1","Cartographie stratifiée de la végétation urbaine à Lyon par fusion d'orthophotos et de LiDAR, Arthur Villarroya-Palau, John Samuel, Ludovic Darmet, Maxime Tribolet, Anthony Angelot, Gilles Gesquière, Colloque UrbaTree - L'arbre urbain : du gène au paysage, giugno 2026, Rennes, Francia. https://hal.science/hal-05658820v1"
,CVEntry,both,postersdemo,2026,,"Modélisation et analyse de l'évolution urbaine, John Samuel, Demi-journée de valorisation des projets et travaux scientifiques, CPE Lyon, January 26, 2026",,,,Q9395,Q9395,"Modélisation et analyse de l'évolution urbaine, John Samuel, Demi-journée de valorisation des projets et travaux scientifiques, CPE Lyon, 26 janvier 2026","Modélisation et analyse de l'évolution urbaine, John Samuel, Demi-journée de valorisation des projets et travaux scientifiques, CPE Lyon, 26 ജനുവരി 2026","Modélisation et analyse de l'évolution urbaine, John Samuel, Demi-journée de valorisation des projets et travaux scientifiques, CPE Lyon, 26 ਜਨਵਰੀ 2026","Modélisation et analyse de l'évolution urbaine, John Samuel, Demi-journée de valorisation des projets et travaux scientifiques, CPE Lyon, 26 जनवरी 2026","Modélisation et analyse de l'évolution urbaine, John Samuel, Demi-journée de valorisation des projets et travaux scientifiques, CPE Lyon, 26 janeiro 2026","Modélisation et analyse de l'évolution urbaine, John Samuel, Demi-journée de valorisation des projets et travaux scientifiques, CPE Lyon, 26 enero 2026","Modélisation et analyse de l'évolution urbaine, John Samuel, Demi-journée de valorisation des projets et travaux scientifiques, CPE Lyon, 26 gennaio 2026"
,CVEntry,both,postersdemo,2026,,"Queer Memory: Building Queer Histories Together in Wikimedia, Wikimania 2026, Paris, July 23 2026, https://commons.wikimedia.org/wiki/File:Wikimania2026-Queer-Memory-John-Samuel.pdf",,,,Q9397,Q9397,"Queer Memory: Building Queer Histories Together in Wikimedia, Wikimania 2026, Paris, 23 juillet 2026, https://commons.wikimedia.org/wiki/File:Wikimania2026-Queer-Memory-John-Samuel.pdf","Queer Memory: Building Queer Histories Together in Wikimedia, Wikimania 2026, Paris, 23 ജൂലൈ 2026, https://commons.wikimedia.org/wiki/File:Wikimania2026-Queer-Memory-John-Samuel.pdf","Queer Memory: Building Queer Histories Together in Wikimedia, Wikimania 2026, Paris, 23 ਜੁਲਾਈ 2026, https://commons.wikimedia.org/wiki/File:Wikimania2026-Queer-Memory-John-Samuel.pdf","Queer Memory: Building Queer Histories Together in Wikimedia, Wikimania 2026, Paris, 23 जुलाई 2026, https://commons.wikimedia.org/wiki/File:Wikimania2026-Queer-Memory-John-Samuel.pdf","Queer Memory: Building Queer Histories Together in Wikimedia, Wikimania 2026, Paris, 23 julho 2026, https://commons.wikimedia.org/wiki/File:Wikimania2026-Queer-Memory-John-Samuel.pdf","Queer Memory: Building Queer Histories Together in Wikimedia, Wikimania 2026, Paris, 23 julio 2026, https://commons.wikimedia.org/wiki/File:Wikimania2026-Queer-Memory-John-Samuel.pdf","Queer Memory: Building Queer Histories Together in Wikimedia, Wikimania 2026, Paris, 23 luglio 2026, https://commons.wikimedia.org/wiki/File:Wikimania2026-Queer-Memory-John-Samuel.pdf"
,CVEntry,both,talks,2026,,"La fabrique collective des histoires queer dans les communs numériques., John Samuel, Deuxièmes rencontres du Réseau jeune recherche LGBTQI+, Université de Lyon 1, May 13, 2026, https://hal.science/hal-05687298",,,,Q9399,Q9399,"La fabrique collective des histoires queer dans les communs numériques., John Samuel, Deuxièmes rencontres du Réseau jeune recherche LGBTQI+, Université de Lyon 1, 13 mai 2026, https://hal.science/hal-05687298","La fabrique collective des histoires queer dans les communs numériques., John Samuel, Deuxièmes rencontres du Réseau jeune recherche LGBTQI+, Université de Lyon 1, 13 മേയ് 2026, https://hal.science/hal-05687298","La fabrique collective des histoires queer dans les communs numériques., John Samuel, Deuxièmes rencontres du Réseau jeune recherche LGBTQI+, Université de Lyon 1, 13 ਮਈ 2026, https://hal.science/hal-05687298","La fabrique collective des histoires queer dans les communs numériques., John Samuel, Deuxièmes rencontres du Réseau jeune recherche LGBTQI+, Université de Lyon 1, 13 मई 2026, https://hal.science/hal-05687298","La fabrique collective des histoires queer dans les communs numériques., John Samuel, Deuxièmes rencontres du Réseau jeune recherche LGBTQI+, Université de Lyon 1, 13 maio 2026, https://hal.science/hal-05687298","La fabrique collective des histoires queer dans les communs numériques., John Samuel, Deuxièmes rencontres du Réseau jeune recherche LGBTQI+, Université de Lyon 1, 13 mayo 2026, https://hal.science/hal-05687298","La fabrique collective des histoires queer dans les communs numériques., John Samuel, Deuxièmes rencontres du Réseau jeune recherche LGBTQI+, Université de Lyon 1, 13 maggio 2026, https://hal.science/hal-05687298"
,CVEntry,both,talks,2026,,"John Samuel, Accueil élèves ingénieurs, Université de Lyon 1, January 22, 2026",,,,Q9401,Q9401,"John Samuel, Accueil élèves ingénieurs, Université de Lyon 1, 22 janvier 2026","John Samuel, Accueil élèves ingénieurs, Université de Lyon 1, 22 ജനുവരി 2026","John Samuel, Accueil élèves ingénieurs, Université de Lyon 1, 22 ਜਨਵਰੀ 2026","John Samuel, Accueil élèves ingénieurs, Université de Lyon 1, 22 जनवरी 2026","John Samuel, Accueil élèves ingénieurs, Université de Lyon 1, 22 janeiro 2026","John Samuel, Accueil élèves ingénieurs, Université de Lyon 1, 22 enero 2026","John Samuel, Accueil élèves ingénieurs, Université de Lyon 1, 22 gennaio 2026"
,CVEntry,both,participation,2026,,"Wikimania 2026, July 2026, https://wikimania.wikimedia.org/wiki/2026:Wikimania",,Q8659 Q8661 Q8663 Q8664,,Q8665,Q8665,,,,,,,
,CVEntry,both,participation,2026,,"GRADE Paris 2026, August 2026, https://meta.wikimedia.org/wiki/Event:GRADE-Paris2026",,Q8660 Q8662 Q8663 Q8664,,Q8666,Q8666,,,,,,,
,CVEntry,both,journals,2026,,"Design Space for Visualizing Multimedia Documents in Spatio-Temporal-Thematic Urban Context, Akin Gulfidan, Pierre-Antoine Chiron, John Samuel, Valérie Gouet-Brunet, Gilles Gesquière, 3D GeoInfo 2026, September 2026, Sofia, Bulgaria (To appear)",,,,Q9412,Q9412,"Design Space for Visualizing Multimedia Documents in Spatio-Temporal-Thematic Urban Context, Akin Gulfidan, Pierre-Antoine Chiron, John Samuel, Valérie Gouet-Brunet, Gilles Gesquière, 3D GeoInfo 2026, septembre 2026, Sofia, Bulgarie (To appear)","Design Space for Visualizing Multimedia Documents in Spatio-Temporal-Thematic Urban Context, Akin Gulfidan, Pierre-Antoine Chiron, John Samuel, Valérie Gouet-Brunet, Gilles Gesquière, 3D GeoInfo 2026, സെപ്റ്റംബർ 2026, Sofia, ബൾഗേറിയ (To appear)","Design Space for Visualizing Multimedia Documents in Spatio-Temporal-Thematic Urban Context, Akin Gulfidan, Pierre-Antoine Chiron, John Samuel, Valérie Gouet-Brunet, Gilles Gesquière, 3D GeoInfo 2026, ਸਤੰਬਰ 2026, Sofia, ਬੁਲਗਾਰੀਆ (To appear)","Design Space for Visualizing Multimedia Documents in Spatio-Temporal-Thematic Urban Context, Akin Gulfidan, Pierre-Antoine Chiron, John Samuel, Valérie Gouet-Brunet, Gilles Gesquière, 3D GeoInfo 2026, सितंबर 2026, Sofia, बुल्गारिया (To appear)","Design Space for Visualizing Multimedia Documents in Spatio-Temporal-Thematic Urban Context, Akin Gulfidan, Pierre-Antoine Chiron, John Samuel, Valérie Gouet-Brunet, Gilles Gesquière, 3D GeoInfo 2026, setembro 2026, Sofia, Bulgária (To appear)","Design Space for Visualizing Multimedia Documents in Spatio-Temporal-Thematic Urban Context, Akin Gulfidan, Pierre-Antoine Chiron, John Samuel, Valérie Gouet-Brunet, Gilles Gesquière, 3D GeoInfo 2026, septiembre 2026, Sofia, Bulgaria (To appear)","Design Space for Visualizing Multimedia Documents in Spatio-Temporal-Thematic Urban Context, Akin Gulfidan, Pierre-Antoine Chiron, John Samuel, Valérie Gouet-Brunet, Gilles Gesquière, 3D GeoInfo 2026, settembre 2026, Sofia, Bulgaria (To appear)"
,CVEntry,both,journals,2026,,"From Versioned Cities to Versioned Documents: Extending CityRDF for Modelling Urban Documentation over Time, Diego Vinasco-Alvarez, John Samuel, Pierre-Antoine Chiron, Sylvie Servigne, Gilles Gesquiere, 3D GeoInfo 2026, September 2026, Sofia, Bulgaria (To appear)",,,,Q9413,Q9413,"From Versioned Cities to Versioned Documents: Extending CityRDF for Modelling Urban Documentation over Time, Diego Vinasco-Alvarez, John Samuel, Pierre-Antoine Chiron, Sylvie Servigne, Gilles Gesquiere, 3D GeoInfo 2026, septembre 2026, Sofia, Bulgarie (To appear)","From Versioned Cities to Versioned Documents: Extending CityRDF for Modelling Urban Documentation over Time, Diego Vinasco-Alvarez, John Samuel, Pierre-Antoine Chiron, Sylvie Servigne, Gilles Gesquiere, 3D GeoInfo 2026, സെപ്റ്റംബർ 2026, Sofia, ബൾഗേറിയ (To appear)","From Versioned Cities to Versioned Documents: Extending CityRDF for Modelling Urban Documentation over Time, Diego Vinasco-Alvarez, John Samuel, Pierre-Antoine Chiron, Sylvie Servigne, Gilles Gesquiere, 3D GeoInfo 2026, ਸਤੰਬਰ 2026, Sofia, ਬੁਲਗਾਰੀਆ (To appear)","From Versioned Cities to Versioned Documents: Extending CityRDF for Modelling Urban Documentation over Time, Diego Vinasco-Alvarez, John Samuel, Pierre-Antoine Chiron, Sylvie Servigne, Gilles Gesquiere, 3D GeoInfo 2026, सितंबर 2026, Sofia, बुल्गारिया (To appear)","From Versioned Cities to Versioned Documents: Extending CityRDF for Modelling Urban Documentation over Time, Diego Vinasco-Alvarez, John Samuel, Pierre-Antoine Chiron, Sylvie Servigne, Gilles Gesquiere, 3D GeoInfo 2026, setembro 2026, Sofia, Bulgária (To appear)","From Versioned Cities to Versioned Documents: Extending CityRDF for Modelling Urban Documentation over Time, Diego Vinasco-Alvarez, John Samuel, Pierre-Antoine Chiron, Sylvie Servigne, Gilles Gesquiere, 3D GeoInfo 2026, septiembre 2026, Sofia, Bulgaria (To appear)","From Versioned Cities to Versioned Documents: Extending CityRDF for Modelling Urban Documentation over Time, Diego Vinasco-Alvarez, John Samuel, Pierre-Antoine Chiron, Sylvie Servigne, Gilles Gesquiere, 3D GeoInfo 2026, settembre 2026, Sofia, Bulgaria (To appear)"
