id,type,name,wikidata_url,local_qid
,film,The Odyssey,https://www.wikidata.org/wiki/Q131547207,Q8649
,film,Disclosure Day,https://www.wikidata.org/wiki/Q126683577,Q8650
,TVSeries,Our Planet,https://www.wikidata.org/wiki/Q60747233,Q6591
,Movie,Don't Look Up,https://www.wikidata.org/wiki/Q100361490,Q6592
,TVSeries,EastSiders,https://www.wikidata.org/wiki/Q5330957,Q6593
,TVSeries,Single All the Way,https://www.wikidata.org/wiki/Q109520342,Q6594
,TVSeries,Better Than Us,https://www.wikidata.org/wiki/Q55388754,Q6595
,TVSeries,Sense8,https://www.wikidata.org/wiki/Q17080059,Q6596
,Movie,Il est elle,https://www.wikidata.org/wiki/Q109352944,Q6597
,Movie,The Power of the Dog,https://www.wikidata.org/wiki/Q85323337,Q6598
,TVSeries,Stories of a Generation – with Pope Francis,https://www.wikidata.org/wiki/Q110269308,Q6599
,TVSeries,The Queen's Gambit,https://www.wikidata.org/wiki/Q85808226,Q6600
,TVSeries,Squid Game,https://www.wikidata.org/wiki/Q106582931,Q6601
,Movie,Fantastic Fungi,https://www.wikidata.org/wiki/Q75206334,Q6602
,Movie,I am Jonas,https://www.wikidata.org/wiki/Q59237542,Q6603
,Movie,Circus of Books,https://www.wikidata.org/wiki/Q91013364,Q6604
,Movie,Spirited Away,https://www.wikidata.org/wiki/Q155653,Q6605
,Movie,The Cat Returns,https://www.wikidata.org/wiki/Q51543,Q6606
,Movie,Dancing with the Birds,https://www.wikidata.org/wiki/Q73025844,Q6607
,Movie,2012,https://www.wikidata.org/wiki/Q184605,Q3731
,TVSeries,The Crown,https://www.wikidata.org/wiki/Q20707362,Q6608
,TVSeries,Dix pour cent,https://www.wikidata.org/wiki/Q21008333,Q6609
,TVSeries,Amend: The Fight for America,https://www.wikidata.org/wiki/Q107313407,Q6610
,TVSeries,Dark,https://www.wikidata.org/wiki/Q28443710,Q6611
,TVSeries,Ratched,https://www.wikidata.org/wiki/Q47484650,Q6612
,Movie,Atypical,https://www.wikidata.org/wiki/Q28443618,Q6613
,Movie,Seaspiracy,https://www.wikidata.org/wiki/Q106159613,Q6614
,Movie,Bird Box,https://www.wikidata.org/wiki/Q43370937,Q6615
,Movie,The Social Dilemma,https://www.wikidata.org/wiki/Q99191029,Q6616
,TVSeries,Please Like Me,https://www.wikidata.org/wiki/Q8592002,Q6617
,TVSeries,Les engagés,https://www.wikidata.org/wiki/Q62018588,Q6618
,Movie,The Midnight Sky,https://www.wikidata.org/wiki/Q71767482,Q6619
,Movie,Stowaway,https://www.wikidata.org/wiki/Q65091727,Q6620
,TVSeries,Sex Education,https://www.wikidata.org/wiki/Q55632932,Q6621
,TVSeries,Away,https://www.wikidata.org/wiki/Q55604566,Q6622
,TVSeries,Special,https://www.wikidata.org/wiki/Q62500926,Q6623
,TVSeries,Unbreakable Kimmy Schmidt,https://www.wikidata.org/wiki/Q16889037,Q6624
,TVSeries,Tales of the City,https://www.wikidata.org/wiki/Q55634633,Q6625
,Movie,Hannah Gadsby: Douglas,https://www.wikidata.org/wiki/Q96380300,Q6626
,Movie,Hannah Gadsby: Nanette,https://www.wikidata.org/wiki/Q55624617,Q6627
,Movie,My best friend Anne Frank,https://www.wikidata.org/wiki/Q108480073,Q6628
,Movie,Arrietty,https://www.wikidata.org/wiki/Q699835,Q6629
,Movie,Coded Bias,https://www.wikidata.org/wiki/Q104878660,Q6630
,Movie,The Boys in the Band,https://www.wikidata.org/wiki/Q63250124,Q6631
,TVSeries,Heartstopper,https://www.wikidata.org/wiki/Q106623586,Q6632
,TVSeries,Young Royals,https://www.wikidata.org/wiki/Q107300488,Q6633
,Movie,Cobalt Blue,https://www.wikidata.org/wiki/Q111467967,Q6634
,Movie,Loev,https://www.wikidata.org/wiki/Q28180003,Q6635
,Movie,"Margarita, with a Straw",https://www.wikidata.org/wiki/Q17113531,Q6636
,Movie,Chasing Coral,https://www.wikidata.org/wiki/Q33109396,Q6637
,TVSeries,The Witcher,https://www.wikidata.org/wiki/Q47500433,Q6638
,TVSeries,A Suitable Boy,https://www.wikidata.org/wiki/Q85739314,Q6639
,TVSeries,The Politician,https://www.wikidata.org/wiki/Q47814191,Q6640
,Movie,I am Mother,https://www.wikidata.org/wiki/Q55762009,Q6641
,Movie,Passengers,https://www.wikidata.org/wiki/Q20962283,Q6642
,Movie,Roma,https://www.wikidata.org/wiki/Q27959455,Q6643
,Movie,Interstellar,https://www.wikidata.org/wiki/Q13417189,Q6644
,Movie,Alex Strangelove,https://www.wikidata.org/wiki/Q51900452,Q6645
,Movie,Nausicaä of the Valley of the Wind,https://www.wikidata.org/wiki/Q8885676,Q6646
,TVSeries,Life in Colour with David Attenborough,https://www.wikidata.org/wiki/Q106437023,Q6647
,TVSeries,Inventing Anna,https://www.wikidata.org/wiki/Q82396632,Q6648
,TVSeries,Our Great National Parks,https://www.wikidata.org/wiki/Q111610211,Q6649
,TVSeries,Top Secret UFO Projects: Declassified,https://www.wikidata.org/wiki/Q108037291,Q6650
,TVSeries,En thérapie,https://www.wikidata.org/wiki/Q105192587,Q6651
,TVSeries,Katla,https://www.wikidata.org/wiki/Q107210735,Q6652
,Movie,Bubble,https://www.wikidata.org/wiki/Q109965531,Q6653
,Movie,The Half of It,https://www.wikidata.org/wiki/Q65060213,Q6654
,Movie,My Octopus Teacher,https://www.wikidata.org/wiki/Q99372651,Q6655
,Movie,Amor de madre,https://www.wikidata.org/wiki/Q108366682,Q6656
,Movie,Riverdance: The Animated Adventure,https://www.wikidata.org/wiki/Q106920326,Q6657
,Movie,The Cloverfield Paradox,https://www.wikidata.org/wiki/Q25136560,Q6658
,Movie,Elysium,https://www.wikidata.org/wiki/Q80959,Q6659
,Movie,Princess Mononoke,https://www.wikidata.org/wiki/Q186572,Q6660
,Movie,The Two Popes,https://www.wikidata.org/wiki/Q58894738,Q6661
,Movie,Puff: Wonders of the Reef,https://www.wikidata.org/wiki/Q110157758,Q6662
,TVSeries,Night on Earth,https://www.wikidata.org/wiki/Q82473889,Q6663
,TVSeries,Glee,https://www.wikidata.org/wiki/Q152178,Q6664
