id,type,name,wikidata_url,type_label,local_qid
,Museum,Abbamuseet,https://www.wikidata.org/wiki/Q2743819,Museum,Q3792
,Museum,Belvedere Museum,https://www.wikidata.org/wiki/Q303139,Museum,Q3793
,Museum,Byzantine and Christian Museum,https://www.wikidata.org/wiki/Q1018775,Museum,Q3794
,Museum,C/O Berlin,https://www.wikidata.org/wiki/Q1022620,Museum,Q3795
,Museum,Centre Pompidou,https://www.wikidata.org/wiki/Q178065,Museum,Q3796
,Museum,Cité internationale de la gastronomie de Lyon,https://www.wikidata.org/wiki/Q74017785,Museum,Q3797
,Museum,Den Blå Planet,https://www.wikidata.org/wiki/Q31828,Museum,Q3798
,Museum,Fondation Bullukian,https://www.wikidata.org/wiki/Q60171142,Museum,Q3799
,Museum,Fonds régional d'art contemporain d'Auvergne,https://www.wikidata.org/wiki/Q3063394,Museum,Q3800
,Museum,Guggenheim Museum,https://www.wikidata.org/wiki/Q179199,Museum,Q3801
,Museum,Jeu de Paume,https://www.wikidata.org/wiki/Q656296,Museum,Q3802
,Museum,Leopold Museum,https://www.wikidata.org/wiki/Q59435,Museum,Q3803
,Museum,Louisiana Museum of Modern Art,https://www.wikidata.org/wiki/Q1410617,Museum,Q3804
,Museum,Louvre Museum,https://www.wikidata.org/wiki/Q19675,Museum,Q3805
,Museum,Lugdunum,https://www.wikidata.org/wiki/Q509,Museum,Q3806
,Museum,Magyar Nemzeti Múzeum,https://www.wikidata.org/wiki/Q914141,Museum,Q3807
,Museum,MO Museum,https://www.wikidata.org/wiki/Q16464897,Museum,Q3808
,ArtGallery,musée d'Art contemporain de Lyon,https://www.wikidata.org/wiki/Q8330,Gallery,Q3809
,Museum,Musée d'Art Roger-Quilliot,https://www.wikidata.org/wiki/Q1495869,Museum,Q3810
,Museum,Musée d'art religieux de Fourvière,https://www.wikidata.org/wiki/Q36076778,Museum,Q3811
,Museum,Musée d'Orsay,https://www.wikidata.org/wiki/Q23402,Museum,Q3812
,ArtGallery,musée de l'Imprimerie et de la Communication graphique,https://www.wikidata.org/wiki/Q8323,Gallery,Q3813
,ArtGallery,musée des Beaux-Arts de Lyon,https://www.wikidata.org/wiki/Q511,Gallery,Q3814
,ArtGallery,musée des Confluences,https://www.wikidata.org/wiki/Q8352,Gallery,Q3815
,ArtGallery,musée gallo-romain de Saint-Romain-en-Gal,https://www.wikidata.org/wiki/Q3330574,Gallery,Q3816
,Museum,Museo del Prado,https://www.wikidata.org/wiki/Q160112,Museum,Q3817
,Museum,Museo Nacional Centro de Arte Reina Sofía,https://www.wikidata.org/wiki/Q460889,Museum,Q3818
,Museum,Narbo Via,https://www.wikidata.org/wiki/Q30738411,Museum,Q3819
,ArtGallery,Nedbalka Gallery,https://www.wikidata.org/wiki/Q15729805,Gallery,Q3820
,Museum,Peggy Guggenheim Collection,https://www.wikidata.org/wiki/Q1049033,Museum,Q3821
,Museum,Vasamuseet,https://www.wikidata.org/wiki/Q901371,Museum,Q3822
