id,type,name,wikidata_url,local_qid
,Person,A. R. Rahman,https://www.wikidata.org/wiki/Q108560,Q7306
,MusicGroup,ABBA,https://www.wikidata.org/wiki/Q18233,Q7307
,Person,Adele,https://www.wikidata.org/wiki/Q23215,Q7308
,MusicGroup,Aerosmith,https://www.wikidata.org/wiki/Q126826,Q7309
,Person,Agnes Obel,https://www.wikidata.org/wiki/Q271916,Q7310
,Person,Akon,https://www.wikidata.org/wiki/Q32849,Q7311
,Person,Alanis Morissette,https://www.wikidata.org/wiki/Q130742,Q7312
,Person,Alka Yagnik,https://www.wikidata.org/wiki/Q466826,Q7313
,Person,Amy Winehouse,https://www.wikidata.org/wiki/Q15897,Q7314
,Person,Andrea Bocelli,https://www.wikidata.org/wiki/Q42402,Q7315
,Person,Anohni,https://www.wikidata.org/wiki/Q1262889,Q7316
,MusicGroup,Antonio Vivaldi,https://www.wikidata.org/wiki/Q1340,Q7317
,MusicGroup,Antony and the Johnsons,https://www.wikidata.org/wiki/Q608208,Q7318
,Person,Ariana Grande,https://www.wikidata.org/wiki/Q151892,Q7319
,Person,Asha Bhosle,https://www.wikidata.org/wiki/Q38393,Q7320
,MusicGroup,Austra,https://www.wikidata.org/wiki/Q781201,Q7321
,MusicGroup,Avicii,https://www.wikidata.org/wiki/Q505476,Q7322
,MusicGroup,Backstreet Boys,https://www.wikidata.org/wiki/Q17140,Q7323
,Person,Barbara,https://www.wikidata.org/wiki/Q1804,Q7324
,Person,Ben E. King,https://www.wikidata.org/wiki/Q356140,Q7325
,Person,Beth Ditto,https://www.wikidata.org/wiki/Q12827,Q7326
,Person,Beyoncé,https://www.wikidata.org/wiki/Q36153,Q7327
,Person,Bilal Hassani,https://www.wikidata.org/wiki/Q60458248,Q7328
,Person,Björk,https://www.wikidata.org/wiki/Q42455,Q7329
,Person,Blanco,https://www.wikidata.org/wiki/Q105076439,Q7330
,Person,Bob Marley,https://www.wikidata.org/wiki/Q409,Q7331
,MusicGroup,Bon Jovi,https://www.wikidata.org/wiki/Q259254,Q7332
,MusicGroup,Boney M.,https://www.wikidata.org/wiki/Q156298,Q7333
,Person,Brigitte Fontaine,https://www.wikidata.org/wiki/Q563,Q7334
,Person,Britney Spears,https://www.wikidata.org/wiki/Q11975,Q7335
,Person,Bronski Beat,https://www.wikidata.org/wiki/Q927927,Q7336
,Person,Bruno Mars,https://www.wikidata.org/wiki/Q1450,Q7337
,Person,Bryan Adams,https://www.wikidata.org/wiki/Q482907,Q7338
