id,type,page,section,title,alt,src,href,location,year,card_class,data_location,local_qid
,Photograph,Q315/Q3062/Q3019.html,Q3068,Grote Market,,https://pub-8fba570827334e7b82883893c875a08c.r2.dev/photography/places/belgium/antwerp/1024px-Grote_Market.jpg,,,,building-card,,
,Photograph,Q315/Q3062/Q3019.html,Q3070,Windows of City Hall In Copenhagen,,https://pub-8fba570827334e7b82883893c875a08c.r2.dev/photography/places/denmark/copenhagen/1024px-Windows_of_City_Hall_In_Copenhagen.jpg,,,,building-card,,
,Photograph,Q315/Q3062/Q3019.html,Q3072,Bridge view in Suomenlinna In Helsinki,,https://pub-8fba570827334e7b82883893c875a08c.r2.dev/photography/places/finland/suomenlinna/1024px-Bridge_view_in_Suomenlinna_In_Helsinki.jpg,,,,building-card,,
,Photograph,Q315/Q3062/Q3019.html,Q3073,Arch of Saint Trophime Cathedral,,https://pub-8fba570827334e7b82883893c875a08c.r2.dev/photography/places/france/arles/1024px-Arch_of_Saint-Trophime_Cathedral.jpg,,,,building-card,,
,Photograph,Q315/Q3062/Q3019.html,Q3073,Issoire   Kostel svatého Austremona   20130621142057,,https://pub-8fba570827334e7b82883893c875a08c.r2.dev/photography/places/france/issoire/1024px-Issoire_-_Kostel_svatého_Austremona_-_20130621142057.jpg,,,,building-card,,
,Photograph,Q315/Q3062/Q3019.html,Q3073,Issoire   Kostel svatého Austremona   20130621144506,,https://pub-8fba570827334e7b82883893c875a08c.r2.dev/photography/places/france/issoire/1024px-Issoire_-_Kostel_svatého_Austremona_-_20130621144506.jpg,,,,building-card,,
,Photograph,Q315/Q3062/Q3019.html,Q3073,Issoire   Kostel svatého Austremona   20130621142521,,https://pub-8fba570827334e7b82883893c875a08c.r2.dev/photography/places/france/issoire/1024px-Issoire_-_Kostel_svatého_Austremona_-_20130621142521.jpg,,,,building-card,,
,Photograph,Q315/Q3062/Q3019.html,Q3073,Arch on door of Basilique Saint Martin d'Ainay (Lyon),,https://pub-8fba570827334e7b82883893c875a08c.r2.dev/photography/places/france/lyon/1024px-Arch_on_door_of_Basilique_Saint-Martin_d'Ainay_(Lyon).jpg,,,,building-card,,
,Photograph,Q315/Q3062/Q3019.html,Q3073,"Arch, Cathédrale Sainte Marie Majeure",,"https://pub-8fba570827334e7b82883893c875a08c.r2.dev/photography/places/france/marseille/1024px-Arch,_Cathédrale_Sainte-Marie-Majeure.jpg",,,,building-card,,
,Photograph,Q315/Q3062/Q3019.html,Q3073,Cistern of the Chaplaincy of the Mont Saint Michel Abbey 03,,https://pub-8fba570827334e7b82883893c875a08c.r2.dev/photography/places/france/mont-saint-michel/1024px-Cistern_of_the_Chaplaincy_of_the_Mont_Saint-Michel_Abbey_03.jpg,,,,building-card,,
,Photograph,Q315/Q3062/Q3019.html,Q3073,View of Pont en Royans 06,,https://pub-8fba570827334e7b82883893c875a08c.r2.dev/photography/places/france/pont-en-royans/1024px-View_of_Pont-en-Royans_06.jpg,,,,building-card,,
,Photograph,Q315/Q3062/Q3019.html,Q3073,Aqueduc de Saint Nazaire en Royans 01,,https://pub-8fba570827334e7b82883893c875a08c.r2.dev/photography/places/france/saint-nazaire/1024px-Aqueduc_de_Saint-Nazaire-en-Royans_01.jpg,,,,building-card,,
,Photograph,Q315/Q3062/Q3019.html,Q3073,Eglise Saint Aubin (Toulouse) Arche 20171118,,https://pub-8fba570827334e7b82883893c875a08c.r2.dev/photography/places/france/toulouse/1024px-Eglise_Saint-Aubin_(Toulouse)_Arche_20171118.jpg,,,,building-card,,
,Photograph,Q315/Q3062/Q3019.html,Q3074,Barfüßerkirche (Erfurt) 13,,https://pub-8fba570827334e7b82883893c875a08c.r2.dev/photography/places/germany/erfurt/1024px-Barfüßerkirche_(Erfurt)_13.jpg,,,,building-card,,
,Photograph,Q315/Q3062/Q3019.html,Q3074,"Tower, Clouds and Trees Rothenburg",,"https://pub-8fba570827334e7b82883893c875a08c.r2.dev/photography/places/germany/rothenburg/1024px-Tower,_Clouds_and_Trees_Rothenburg.jpg",,,,building-card,,
,Photograph,Q315/Q3062/Q3019.html,Q3074,Windows of Wartburg Castle,,https://pub-8fba570827334e7b82883893c875a08c.r2.dev/photography/places/germany/wartburg/1024px-Windows_of_Wartburg_Castle.jpg,,,,building-card,,
,Photograph,Q315/Q3062/Q3019.html,Q3077,Chiesa del Gesù e dei Santi Ambrogio e Andrea (Genoa) 02,,https://pub-8fba570827334e7b82883893c875a08c.r2.dev/photography/places/italy/genoa/1024px-Chiesa_del_Gesù_e_dei_Santi_Ambrogio_e_Andrea_(Genoa)_02.jpg,,,,building-card,,
