kind,en,fr,ml,pa,hi,pt,es,it
country,Austria,Autriche,ഓസ്ട്രിയ,ਆਸਟਰੀਆ,ऑस्ट्रिया,Áustria,Austria,Austria
country,Belgium,Belgique,ബെൽജിയം,ਬੈਲਜੀਅਮ,बेल्जियम,Bélgica,Bélgica,Belgio
country,Czech Republic,Tchéquie,ചെക്കിയ,ਚੈਕੀਆ,चेकिया,Chéquia,Chequia,Cechia
country,Denmark,Danemark,ഡെൻമാർക്ക്,ਡੈਨਮਾਰਕ,डेनमार्क,Dinamarca,Dinamarca,Danimarca
country,Estonia,Estonie,എസ്റ്റോണിയ,ਐਸਟੋਨੀਆ,एस्टोनिया,Estónia,Estonia,Estonia
country,Finland,Finlande,ഫിൻലാൻഡ്,ਫਿਨਲੈਂਡ,फ़िनलैंड,Finlândia,Finlandia,Finlandia
country,France,France,ഫ്രാൻസ്,ਫਰਾਂਸ,फ्रांस,França,Francia,Francia
country,Germany,Allemagne,ജർമ്മനി,ਜਰਮਨੀ,जर्मनी,Alemanha,Alemania,Germania
country,Greece,Grèce,ഗ്രീസ്,ਯੂਨਾਨ,यूनान,Grécia,Grecia,Grecia
country,Hungary,Hongrie,ഹംഗറി,ਹੰਗਰੀ,हंगरी,Hungria,Hungría,Ungheria
country,Italy,Italie,ഇറ്റലി,ਇਟਲੀ,इटली,Itália,Italia,Italia
country,Latvia,Lettonie,ലാത്വിയ,ਲਾਤਵੀਆ,लातविया,Letónia,Letonia,Lettonia
country,Lithuania,Lituanie,ലിത്വാനിയ,ਲਿਥੁਆਨੀਆ,लिथुआनिया,Lituânia,Lituania,Lituania
country,Luxembourg,Luxembourg,ലക്സംബർഗ്,ਲਕਜ਼ਮਬਰਗ,लक्ज़मबर्ग,Luxemburgo,Luxemburgo,Lussemburgo
country,Poland,Pologne,പോളണ്ട്,ਪੋਲੈਂਡ,पोलैंड,Polónia,Polonia,Polonia
country,Portugal,Portugal,പോർച്ചുഗൽ,ਪੁਰਤਗਾਲ,पुर्तगाल,Portugal,Portugal,Portogallo
country,Slovakia,Slovaquie,സ്ലോവാക്യ,ਸਲੋਵਾਕੀਆ,स्लोवाकिया,Eslováquia,Eslovaquia,Slovacchia
country,Slovenia,Slovénie,സ്ലോവേനിയ,ਸਲੋਵੇਨੀਆ,स्लोवेनिया,Eslovénia,Eslovenia,Slovenia
country,Spain,Espagne,സ്പെയിൻ,ਸਪੇਨ,स्पेन,Espanha,España,Spagna
country,Sweden,Suède,സ്വീഡൻ,ਸਵੀਡਨ,स्वीडन,Suécia,Suecia,Svezia
country,Switzerland,Suisse,സ്വിറ്റ്സർലാൻഡ്,ਸਵਿਟਜ਼ਰਲੈਂਡ,स्विट्ज़रलैंड,Suíça,Suiza,Svizzera
country,The Netherlands,Pays-Bas,നെതർലാൻഡ്സ്,ਨੀਦਰਲੈਂਡ,नीदरलैंड,Países Baixos,Países Bajos,Paesi Bassi
country,Vatican,Vatican,വത്തിക്കാൻ,ਵੈਟੀਕਨ,वेटिकन,Vaticano,Vaticano,Vaticano
city,Adršpach,,അദർശ്പാഖ്,ਅਦਰਸ਼ਪਾਖ,अदर्शपाख,,,
city,Alhambra,,അൽഹാംബ്ര,ਅਲਹਾਮਬਰਾ,अलहाम्ब्रा,,,
city,Amsterdam,,ആംസ്റ്റർഡാം,ਐਮਸਟਰਡਮ,एम्स्टर्डम,,,
city,Annecy,,ആനസി,ਐਨੇਸੀ,एनेसी,,,
city,Antwerp,Anvers,ആന്റ്വർപ്,ਐਂਟਵਰਪ,एंटवर्प,,,
city,Arles,,ആർൽ,ਆਰਲ,आर्ल,,,
city,Athens,Athènes,ഏഥൻസ്,ਏਥਨਜ਼,एथेंस,,,
city,Aveiro,,അവെയ്‌റോ,ਅਵੇਇਰੋ,अवेइरो,,,
city,Barcelona,Barcelone,ബാഴ്സലോണ,ਬਾਰਸਿਲੋਨਾ,बार्सिलोना,,,
city,Berlin,,ബർലിൻ,ਬਰਲਿਨ,बर्लिन,,,
