year,paradigmLabel,count
1948,procedural programming,2
1949,non-structured programming,1
1949,procedural programming,2
1950,procedural programming,2
1953,procedural programming,2
1953,structured programming,2
1954,array programming,7
1954,generic programming,7
1954,imperative programming,8
1954,object-oriented programming,7
1954,procedural programming,7
1954,structured programming,7
1955,imperative programming,2
1955,procedural programming,2
1956,assembly language,2
1956,procedural programming,2
1957,array programming,7
1957,generic programming,7
1957,imperative programming,7
1957,object-oriented programming,7
1957,procedural programming,9
1957,structured programming,7
1958,functional programming,7
1958,imperative programming,4
1958,metaprogramming,7
1958,multi-paradigm programming,7
1958,procedural programming,12
1958,reflective programming,7
1958,structured programming,4
1959,functional programming,7
1959,imperative programming,6
1959,metaprogramming,7
1959,multi-paradigm programming,7
1959,object-oriented programming,4
1959,procedural programming,17
1959,reflective programming,7
1960,imperative programming,8
1960,object-oriented programming,8
1960,procedural programming,10
1962,array programming,7
1962,functional programming,7
1962,imperative programming,1
1962,modular programming,7
1962,multi-paradigm programming,7
1962,object-oriented programming,1
1962,structured programming,7
1963,multi-paradigm programming,3
1963,procedural programming,3
1964,imperative programming,5
1964,non-structured programming,3
1964,procedural programming,4
1966,array programming,7
1966,functional programming,10
1966,imperative programming,6
1966,modular programming,7
1966,multi-paradigm programming,10
1966,procedural programming,11
1966,structured programming,7
1967,functional programming,3
1967,imperative programming,3
1967,multi-paradigm programming,6
1967,object-oriented programming,1
1967,procedural programming,6
1968,functional programming,4
1968,pattern matching,2
1968,procedural programming,6
1969,imperative programming,2
1969,procedural programming,2
1970,imperative programming,3
1970,procedural programming,1
1970,structured programming,1
1971,functional programming,2
1971,knowledge representation and reasoning,2
1972,class-based programming,3
1972,declarative programming,2
1972,esoteric programming,2
1972,imperative programming,4
1972,logic programming,2
1972,object-oriented programming,3
1972,procedural programming,9
1972,structured programming,4
1973,declarative programming,1
1973,functional programming,3
1973,imperative programming,1
1973,procedural programming,11
1973,structured programming,2
1974,data-driven programming,2
1974,declarative programming,2
1974,procedural programming,2
1974,scripting language,2
1975,functional programming,5
1975,metaprogramming,5
1975,multi-paradigm programming,5
1975,procedural programming,11
1976,array programming,2
1976,imperative programming,2
1976,macro,2
1976,procedural programming,4
1977,array programming,2
1977,imperative programming,3
1977,procedural programming,5
1979,data-driven programming,2
1979,imperative programming,3
1979,scripting language,2
1980,concurrent computing,2
1980,imperative programming,5
1980,multi-paradigm programming,5
1980,object-oriented programming,7
1980,procedural programming,2
1981,array programming,2
1981,functional programming,1
1981,procedural programming,2
1983,concurrent computing,2
1983,functional programming,6
1983,generic programming,6
1983,imperative programming,1
1983,multi-paradigm programming,6
1983,object-oriented programming,9
1983,procedural programming,10
1984,Stack-oriented programming language,1
1984,array programming,3
1984,class-based programming,5
1984,functional programming,5
1984,imperative programming,5
1984,multi-paradigm programming,10
1984,object-oriented programming,10
1984,procedural programming,10
1984,purely functional programming,2
1984,reflection,5
1984,reflective programming,5
1984,structured programming,1
1985,declarative programming,3
1985,expert system,2
1985,functional programming,2
1985,imperative programming,1
1985,lazy evaluation,3
1985,multi-paradigm programming,4
1985,object-oriented programming,6
1985,purely functional programming,3
1985,visual programming language,2
1986,concurrent computing,5
1986,declarative programming,5
1986,functional programming,5
1986,imperative programming,8
1986,multi-paradigm programming,13
1986,object-oriented programming,8
1986,procedural programming,3
1987,concurrent computing,7
1987,declarative programming,5
1987,functional programming,7
1987,imperative programming,3
1987,multi-paradigm programming,5
1987,object-oriented programming,2
1987,procedural programming,7
1987,purely functional programming,2
1988,array programming,8
1988,declarative programming,2
1988,functional programming,4
1988,multi-paradigm programming,6
1988,object-orientation,1
1988,object-oriented programming,8
1988,procedural programming,8
1988,prototype-based programming,1
1989,array programming,4
1989,declarative programming,4
1989,imperative programming,3
1989,modularity,2
1989,object-oriented programming,3
1989,purely functional programming,4
1990,array programming,9
1990,dynamic programming,9
1990,function-level programming,9
1990,functional programming,13
1990,imperative programming,1
1990,multi-paradigm programming,9
1990,object-oriented programming,14
1990,tacit programming,9
1991,Object-based language,4
1991,constraint programming,3
1991,dynamic programming,10
1991,event-driven programming,4
1991,functional programming,10
1991,imperative programming,12
1991,multi-paradigm programming,13
1991,object-oriented programming,20
1991,procedural programming,6
1991,reflection,10
1992,array programming,3
1992,event-driven programming,1
1992,functional programming,4
1992,multi-paradigm programming,7
1992,object-oriented programming,9
1993,Natural language programming,2
1993,array programming,5
1993,concurrent computing,2
1993,esoteric programming,8
1993,esoteric programming language,3
1993,functional programming,10
1993,imperative programming,11
1993,multi-paradigm programming,9
1993,object-oriented programming,12
1993,procedural programming,13
1993,prototype-based programming,10
1994,declarative programming,2
1994,dynamic programming,4
1994,functional programming,11
1994,imperative programming,4
1994,modular programming,6
1994,multi-paradigm programming,15
1994,object-oriented programming,17
1994,parallel computing,3
1994,procedural programming,13
1995,class-based programming,1
1995,concurrent computing,2
1995,concurrent object-oriented programming,1
1995,event-driven programming,1
1995,functional programming,11
1995,generic programming,1
1995,imperative programming,7
1995,logic programming,10
1995,multi-paradigm programming,10
1995,object-oriented programming,14
1995,purely functional programming,10
1995,reflective programming,1
1995,structured programming,1
1996,array programming,1
1996,declarative programming,4
1996,functional programming,5
1996,multi-paradigm programming,5
1996,object-oriented programming,14
1997,declarative programming,2
1997,functional programming,7
1997,imperative programming,2
1997,language-oriented programming,1
1997,multi-paradigm programming,7
1997,object-oriented programming,6
1997,procedural programming,2
1997,reflection,1
1998,declarative programming,2
1998,esoteric programming,4
1998,logic programming,2
1998,object-oriented programming,3
1998,structured programming,1
1998,visual programming language,2
1999,declarative programming,6
1999,esoteric programming,3
1999,functional programming,3
1999,imperative programming,3
1999,multi-paradigm programming,4
1999,object-oriented programming,2
1999,parallel computing,1
1999,procedural programming,7
1999,query language,1
2000,compiled language,8
2000,concept programming,3
2000,concurrent computing,4
2000,constraint programming,4
2000,functional programming,7
2000,imperative programming,3
2000,logic programming,1
2000,multi-paradigm programming,6
2000,object-oriented programming,6
2000,procedural programming,4
2000,purely functional programming,2
2001,actor model,1
2001,aspect-oriented programming,1
2001,compiled language,8
2001,dataflow programming,1
2001,object-oriented programming,8
2001,procedural programming,3
2002,class-based programming,1
2002,concurrent computing,1
2002,event-driven programming,1
2002,functional programming,1
2002,generic programming,1
2002,imperative programming,1
2002,multi-paradigm programming,2
2002,object-oriented programming,6
2002,procedural programming,4
2002,reflective programming,1
2002,structured programming,2
2003,esoteric programming,2
2003,functional programming,5
2003,multi-paradigm programming,5
2003,object-orientation,2
