year,count
1943,1
1946,2
1947,1
1948,4
1949,3
1950,4
1951,11
1952,4
1953,3
1954,12
1955,8
1956,3
1957,11
1958,14
1959,18
1960,11
1961,1
1962,11
1963,4
1964,14
1965,3
1966,23
1967,13
1968,19
1969,8
1970,7
1971,6
1972,16
1973,14
1974,9
1975,16
1976,13
1977,17
1978,8
1979,9
1980,12
1981,10
1982,6
1983,21
1984,33
1985,22
1986,29
1987,24
1988,32
1989,15
1990,25
1991,30
1992,17
1993,34
1994,30
1995,37
1996,31
1997,28
1998,24
1999,27
2000,38
2001,28
2002,19
2003,30
2004,35
2005,16
2006,23
2007,23
2008,23
2009,41
2010,7
2011,48
2012,15
2013,10
2014,6
2015,2
2016,1
2017,4
2018,1
